year,name,college,position,height_in,weight_lbs,40yards,vert_leap_in,broad_jump_in,shuttle,3cone,hasstats,cmp,att,pct,yds,td,int,rate,heisman,bling,awards,allamerican,drafted
2001,quincy carter,Georgia,QB,74.1,225,4.61,35.5,113.0,4.12,7.12,,483.0,853.0,56.6,6447.0,35.0,25.0,127.8,0.0,0.0,0.0,0.0,Y
2004,philip rivers,North Carolina State,QB,77.0,229,5.08,,,,,,1087.0,1710.0,63.6,13484.0,95.0,34.0,144.2,0.0,1.0,1.0,0.0,Y
2016,paxton lynch,Memphis,QB,78.63,244,4.86,36.0,118.0,4.26,7.14,,758.0,1205.0,62.9,8863.0,59.0,23.0,137.0,0.0,0.0,0.0,0.0,Y
2008,paul smith,Tulsa (OK),QB,73.25,208,4.97,26.5,111.0,4.29,7.02,,808.0,1292.0,62.5,10936.0,83.0,35.0,149.4,0.0,1.0,1.0,0.0,N
2006,paul pinegar,Fresno State (CA),QB,76.88,232,5.14,29.0,110.0,4.49,7.36,,842.0,1405.0,59.9,10136.0,84.0,49.0,133.3,0.0,0.0,0.0,0.0,N
1998,paul kaiser,Central Missouri,QB,74.6,211,4.78,34.5,114.0,4.04,7.25,,,,,,,,,0.0,0.0,0.0,0.0,N
2012,patrick witt,Yale,QB,76.0,225,5.08,31.5,101.0,4.37,7.14,,6.0,8.0,75.0,48.0,0.0,0.0,125.4,0.0,0.0,0.0,0.0,N
2002,patrick ramsey,Tulane (LA),QB,74.5,219,5.24,33.5,111.0,4.09,7.12,,798.0,1355.0,58.9,9205.0,72.0,51.0,126.0,0.0,0.0,0.0,0.0,Y
2017,patrick mahomes,Texas Tech,QB,74.13,225,4.8,30.0,114.0,4.08,6.88,,857.0,1349.0,63.5,11252.0,93.0,29.0,152.0,0.0,0.0,1.0,0.0,Y
2009,pat white,West Virginia,QB,72.25,197,4.55,35.0,117.0,4.42,7.06,,507.0,783.0,64.8,6049.0,56.0,23.0,147.4,0.0,1.0,1.0,0.0,Y
2011,pat devlin,Delaware,QB,75.38,225,4.81,33.0,116.0,4.32,7.08,,25.0,48.0,52.1,459.0,4.0,0.0,159.9,0.0,0.0,0.0,0.0,N
1999,oscar davenport,North Carolina,QB,75.5,199,4.89,31.0,103.0,4.82,7.5,,251.0,419.0,59.9,3090.0,18.0,8.0,132.2,0.0,0.0,0.0,0.0,N
2001,ortege jenkins,Arizona,QB,72.6,234,4.83,34.5,108.0,4.4,7.32,,387.0,769.0,50.3,5409.0,42.0,26.0,120.7,0.0,0.0,0.0,0.0,N
2006,omar jacobs,Bowling Green (OH),QB,75.88,232,4.86,32.5,108.0,4.29,7.47,,523.0,811.0,64.5,6938.0,71.0,11.0,162.5,0.0,1.0,1.0,0.0,Y
2012,nick foles,Arizona,QB,77.0,243,5.03,30.5,112.0,,,,938.0,1404.0,66.8,10068.0,67.0,33.0,138.1,0.0,0.0,0.0,0.0,Y
2018,nic shimonek,Texas Tech,QB,75.0,220,4.88,28.5,101.0,4.32,7.28,,367.0,553.0,66.4,4445.0,39.0,11.0,153.2,0.0,0.0,0.0,0.0,N
2017,nathan peterman,Pittsburgh,QB,74.63,226,4.82,31.0,110.0,4.31,7.14,,398.0,662.0,60.1,5236.0,47.0,17.0,144.9,0.0,0.0,0.0,0.0,Y
2011,nathan enderle,Idaho,QB,76.13,240,5.12,25.5,102.0,4.46,7.13,,779.0,1427.0,54.6,10084.0,74.0,60.0,122.7,0.0,0.0,0.0,0.0,Y
2009,nathan brown,Central Arkansas,QB,72.63,219,4.86,30.5,106.0,4.44,7.43,,,,,,,,,0.0,0.0,0.0,0.0,N
2016,nate sudfeld,Indiana,QB,78.13,234,,29.0,105.0,,,,593.0,983.0,60.3,7879.0,61.0,20.0,144.1,0.0,0.0,0.0,0.0,Y
2009,nate davis,Ball State (IN),QB,73.38,226,4.95,26.5,99.0,,,,678.0,1124.0,60.3,9233.0,74.0,22.0,147.1,0.0,1.0,1.0,0.0,Y
2017,mitch trubisky,North Carolina,QB,74.13,222,4.67,27.5,116.0,4.25,6.87,,386.0,572.0,67.5,4762.0,41.0,10.0,157.6,0.0,0.0,0.0,0.0,Y
2017,mitch leidner,Minnesota,QB,75.38,226,4.93,34.5,123.0,4.25,6.96,,580.0,1029.0,56.4,7287.0,36.0,32.0,121.2,0.0,0.0,0.0,0.0,N
2018,mike white,Western Kentucky,QB,77.0,224,5.09,27.0,96.0,4.4,7.4,,,,,,,,,0.0,0.0,0.0,0.0,Y
2009,mike reilly,Central Washington,QB,75.0,214,4.79,30.5,109.0,4.11,6.76,,,,,,,,,0.0,0.0,0.0,0.0,N
1998,mike mcqueary,Penn State,QB,76.3,223,5.16,26.0,99.0,4.4,7.79,,171.0,307.0,55.7,2730.0,22.0,11.0,146.9,0.0,0.0,0.0,0.0,N
2001,mike mcmahon,Rutgers,QB,74.4,207,4.55,37.5,124.0,4.12,7.12,,482.0,974.0,49.5,6608.0,41.0,52.0,109.7,0.0,0.0,0.0,0.0,Y
2010,mike kafka,Northwestern,QB,75.13,225,4.93,32.0,110.0,4.37,6.96,,408.0,637.0,64.1,4265.0,19.0,20.0,123.9,0.0,0.0,0.0,0.0,Y
2013,mike glennon,North Carolina State,QB,79.13,225,4.94,26.5,102.0,4.52,7.49,,646.0,1069.0,60.4,7411.0,63.0,31.0,132.3,0.0,0.0,0.0,0.0,Y
1999,mike cook,William & Mary (VA),QB,71.6,207,4.84,33.5,112.0,4.32,7.29,,,,,,,,,0.0,0.0,0.0,0.0,N
1997,mike cherry,Murray State (KY),QB,75.9,222,5.11,28.5,105.0,4.38,7.8,,21.0,40.0,52.5,242.0,1.0,3.0,96.6,0.0,0.0,0.0,0.0,Y
2001,michael vick,Virginia Tech,QB,72.0,210,4.33,38.0,,,,,192.0,343.0,56.0,3299.0,21.0,11.0,150.6,0.0,1.0,1.0,0.0,Y
1999,michael bishop,Kansas State,QB,73.0,205,4.85,33.0,113.0,4.62,7.63,,244.0,480.0,50.8,4401.0,36.0,13.0,147.2,0.0,1.0,1.0,1.0,Y
2010,max hall,Brigham Young,QB,72.63,209,4.84,32.0,102.0,4.35,7.07,,903.0,1382.0,65.3,11365.0,94.0,40.0,151.1,0.0,0.0,0.0,0.0,N
2009,matthew stafford,Georgia,QB,74.25,225,4.81,30.5,107.0,4.47,7.06,,564.0,987.0,57.1,7731.0,51.0,33.0,133.3,0.0,0.0,0.0,0.0,Y
1998,matt sherman,Iowa,QB,73.9,207,5.06,26.5,103.0,4.37,7.68,,420.0,714.0,58.8,6018.0,43.0,32.0,140.5,0.0,0.0,0.0,0.0,N
2013,matt scott,Arizona,QB,74.13,213,4.69,31.0,118.0,3.99,6.69,,415.0,675.0,61.5,4921.0,33.0,19.0,133.2,0.0,0.0,0.0,0.0,N
2004,matt schaub,Virginia,QB,77.6,243,5.05,30.5,110.0,4.62,7.65,,716.0,1069.0,67.0,7502.0,56.0,26.0,138.4,0.0,1.0,1.0,0.0,Y
2008,matt ryan,Boston College,QB,76.75,228,4.94,,,4.51,7.4,,807.0,1347.0,59.9,9313.0,56.0,37.0,126.2,0.0,1.0,1.0,0.0,Y
2006,matt leinart,Southern California,QB,76.88,223,4.9,,,,,,807.0,1245.0,64.8,10693.0,99.0,23.0,159.5,1.0,1.0,1.0,1.0,Y
2007,matt gutierrez,Idaho State,QB,76.25,232,5.04,29.5,108.0,4.28,6.99,,27.0,41.0,65.9,286.0,1.0,0.0,132.5,0.0,0.0,0.0,0.0,N
2008,matt flynn,Louisiana State,QB,74.25,231,4.81,28.0,109.0,4.34,7.21,,245.0,437.0,56.1,3096.0,31.0,13.0,133.0,0.0,0.0,0.0,0.0,Y
2013,matt barkley,Southern California,QB,74.0,230,4.91,,,,,,1001.0,1562.0,64.1,12327.0,116.0,48.0,148.7,0.0,0.0,0.0,0.0,Y
2018,mason rudolph,Oklahoma State,QB,77.0,235,4.9,26.0,,,,,915.0,1447.0,63.2,13618.0,92.0,26.0,159.7,0.0,0.0,1.0,0.0,Y
2001,marques tuiasosopo,Washington,QB,73.1,223,4.71,35.5,115.0,4.35,7.36,,418.0,761.0,54.9,5501.0,31.0,28.0,121.7,0.0,1.0,1.0,0.0,Y
2009,mark sanchez,Southern California,QB,74.13,227,4.93,32.5,116.0,4.21,7.06,,313.0,487.0,64.3,3965.0,41.0,16.0,153.9,0.0,0.0,0.0,0.0,Y
