year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,hasawards,allamerican,drafted
2002,joe cooper,Ohio State,OLB,72.4,233,4.94,17,32,108,4.46,7.47,0,0,N
2002,andra davis,Florida,ILB,72.9,244,4.77,20,31.5,106,,,0,0,Y
2002,justin ena,Brigham Young,ILB,75,247,4.71,20,34,112,4.11,6.76,0,0,N
2002,trev faulk,Louisiana State,ILB,74.6,241,4.84,,32,116,,,0,0,N
2002,levar fisher,North Carolina State,OLB,72.9,233,4.62,,31,108,,7.3,1,0,Y
2002,larry foote,Michigan,OLB,72.9,231,4.85,24,30,,4.41,7.18,1,0,Y
2002,scott fujita,California,OLB,77.5,248,4.63,20,42,122,4.21,7.09,0,0,Y
2002,napoleon harris,Northwestern,OLB,74.9,253,4.57,27,34,110,4.44,7.15,0,0,Y
2002,tyreo harrison,Notre Dame,ILB,74,238,4.88,,40,114,,7.24,0,0,Y
2002,ben leber,Kansas State,OLB,75,244,4.62,20,32.5,114,4.25,6.75,0,0,Y
2002,dd lewis,Texas,ILB,73,235,4.7,24,33.5,114,,,0,0,N
2002,quincy monk,North Carolina,ILB,75.4,250,4.8,26,33.5,112,4.38,7.46,0,0,Y
2002,brandon moore,Oklahoma,OLB,73.1,239,4.61,23,36.5,111,,,0,0,N
2002,jermaine petty,Arkansas,ILB,74.9,261,4.79,20,33.5,114,4.34,,0,0,N
2002,nick rogers,Georgia Tech,OLB,74,251,4.65,22,36,115,4.19,7.02,0,0,Y
2002,raonall smith,Washington State,OLB,74.1,244,4.56,26,42,121,4.11,7.1,0,0,Y
2002,dominique stevenson,Tennessee,OLB,72.3,231,4.6,23,32.5,107,,,0,0,Y
2002,jashon sykes,Colorado,OLB,74.9,236,4.81,23,34.5,115,4.34,7.25,0,0,N
2002,ben taylor,Virginia Tech,ILB,73.9,236,4.79,19,35.5,116,4.09,6.56,0,0,Y
2002,robert thomas,UCLA,OLB,72,229,4.53,21,34,114,4.1,7.21,1,1,Y
2002,josh thornhill,Michigan State,ILB,74.3,243,4.76,27,36.5,121,4.19,7.15,0,0,N
2002,david thornton,North Carolina,OLB,73.9,236,4.66,26,35.5,116,4.09,6.93,0,0,N
2002,will witherspoon,Georgia,OLB,73.5,231,4.63,25,38,120,4.21,7.09,0,0,Y
2003,khalid abdullah,Mars Hill (NC),OLB,74.1,227,4.63,26,36.5,126,4.17,7.13,0,0,Y
2003,boss bailey,Georgia,OLB,75.1,233,4.58,,42,135,,,0,0,Y
2003,nick barnett,Oregon State,OLB,73.6,236,4.69,32,34.5,123,4.07,6.97,0,0,Y
2003,solomon bates,Arizona State,ILB,73.4,243,4.88,19,30,112,4.32,7.22,0,0,Y
2003,lance briggs,Arizona,ILB,72.6,242,4.78,25,33,113,,,0,0,Y
2003,mark brown,Auburn,ILB,72.4,238,4.85,,37.5,121,4.17,7.35,0,0,N
2003,chris clemons,Georgia,OLB,75,236,4.64,18,35,116,4.58,7.47,0,0,N
2003,angelo crowell,Virginia,ILB,72.4,236,4.71,25,32.5,,4.26,7.07,0,0,Y
2003,lawrence flugence,Texas Tech,ILB,73.1,239,4.86,23,34,106,4.34,7.4,0,0,N
2003,tony gilbert,Georgia,ILB,71.9,251,4.86,19,27.5,109,,,0,0,Y
2003,mario haggan,Mississippi State,ILB,74.6,252,4.84,21,33,110,4.38,7.54,0,0,Y
2003,byron hardmon,Florida,ILB,73,232,4.78,17,32.5,115,4.36,7.55,0,0,N
2003,gerald hayes,Pittsburgh,ILB,72.9,238,4.75,,30.5,107,4.35,7.57,0,0,Y
2003,ej henderson,Maryland,ILB,72.9,245,4.8,20,,,,,1,1,Y
2003,victor hobson,Michigan,ILB,72.5,252,4.88,29,33,117,4.32,7.25,0,0,Y
2003,bradie james,Louisiana State,ILB,74.4,242,4.71,,32.5,113,4.52,7.53,0,0,Y
2003,jeremy loyd,Iowa State,OLB,73.6,235,4.66,17,34,114,4.12,6.89,0,0,N
2003,lamarcus mcdonald,Texas Christian,ILB,73.3,227,4.97,,31,110,4.44,7.59,1,0,N
2003,kawika mitchell,South Florida,ILB,73,253,4.69,25,37,117,4.24,7.32,0,0,Y
2003,mike nattiel,Florida,OLB,71.6,228,4.65,,30,106,4.38,7.49,0,0,N
2003,joe odom,Purdue,OLB,72.9,241,4.62,26,,,,,0,0,Y
2003,antwan peek,Cincinnati,OLB,74.6,246,4.67,21,37,125,4.33,7.06,0,0,Y
2003,terry pierce,Kansas State,ILB,73.4,251,4.7,28,27.5,,,,0,0,Y
2003,terrence robinson,Oklahoma State,ILB,72.4,240,4.97,19,33.5,116,4.33,7.6,0,0,N
2003,scott shanle,Nebraska,OLB,74.1,245,4.71,20,31,111,4.32,7.27,0,0,Y
2003,clifton smith,Syracuse,ILB,74.4,253,4.88,,,,,,0,0,N
2003,chaun thompson,West Texas A&M,OLB,73.9,240,4.56,29,35.5,123,4.16,7,0,0,Y
2003,pisa tinoisamoa,Hawaii,OLB,72.4,231,4.69,19,34.5,111,4.07,6.95,0,0,Y
2003,keyon whiteside,Tennessee,ILB,71.9,229,4.74,27,29,111,4.33,7.3,0,0,Y
2004,colby bockwoldt,Brigham Young,OLB,73.6,230,4.59,14,34,112,4.05,7.12,0,0,Y
2004,michael boulware,Florida State,OLB,74,225,4.5,,,,3.92,6.89,0,0,Y
2004,josh buhl,Kansas State,OLB,71.3,204,4.7,,29,114,4.32,7.26,0,0,N
