year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,rushatt,rushyds,rushypa,rushtds,hasbling,allamerican,hasawards,heisman,drafted
2011,anthony allen,Georgia Tech,RB,72.75,228,4.56,24,41.5,120,4.06,6.79,304,1934,6.4,13,0,0,0,0,Y
2011,armando allen,Notre Dame,RB,68.25,199,4.52,23,,,,,469,2144,4.6,8,0,0,0,0,N
2011,matt asiata,Utah,RB,71,229,4.77,22,30,104,4.37,7.09,379,1748,4.6,24,0,0,0,0,N
2011,damien berry,Miami (FL),RB,70.25,211,4.58,23,33.5,120,4.12,7,283,1515,5.4,13,0,0,0,0,N
2011,allen bradford,Southern California,RB,70.88,242,4.53,28,29,113,4.39,6.97,267,1585,5.9,16,0,0,0,0,Y
2011,delone carter,Syracuse,RB,68.63,222,4.54,27,37,120,4.07,6.92,646,3104,4.8,24,0,0,0,0,Y
2011,shaun chapas,Georgia,FB,74.13,247,4.87,23,35.5,116,4.4,7.13,40,155,3.9,3,0,0,0,0,Y
2011,charles clay,Tulsa (OK),FB,74.88,245,4.69,18,33.5,118,4.15,7.07,179,911,5.1,10,0,0,0,0,Y
2011,john clay,Wisconsin,RB,72.5,230,4.83,,29,111,,,629,3413,5.4,41,1,0,1,0,N
2011,graig cooper,Miami (FL),RB,70,205,4.6,18,,114,4.03,6.66,465,2383,5.1,13,0,0,0,0,N
2011,noel devine,West Virginia,RB,67.5,179,4.34,24,,,,,728,4315,5.9,29,0,0,0,0,N
2011,shaun draughn,North Carolina,RB,70.88,213,4.73,21,34,118,4.2,7.15,451,2070,4.6,10,0,0,0,0,N
2011,darren evans,Virginia Tech,RB,72,227,4.56,26,35,111,4.46,6.96,438,2119,4.8,22,0,0,0,0,N
2011,mario fannin,Auburn,RB,70.38,231,4.37,21,37.5,115,4.21,6.99,233,1366,5.9,11,0,0,0,0,N
2011,alex green,Hawaii,RB,72.25,225,4.45,20,34,114,4.15,6.91,232,1652,7.1,20,0,0,0,0,Y
2011,jamie harper,Clemson,RB,71.38,233,4.53,24,36.5,120,4.39,7.16,311,1311,4.2,12,0,0,0,0,Y
2011,roy helu,Nebraska,RB,71.5,219,4.4,11,36.5,119,4.01,6.67,578,3404,5.9,28,0,0,0,0,Y
2011,kendall hunter,Oklahoma State,RB,67.25,199,4.46,24,35,122,4.21,6.74,708,4181,5.9,37,1,1,1,0,Y
