year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,hasbling,allamerican,hasawards,drafted
1999,pene talamaivao,Utah,DT,75.4,301,5.47,17,27.5,103,4.77,8.31,0,0,0,N
1999,jesse tarplin,Georgia Tech,DE,74,251,4.88,16,32.5,108,4.41,7.37,0,0,0,N
1999,corey terry,Tennessee,DE,74.6,254,4.79,,,,4.26,7.4,0,0,0,Y
1999,john thornton,West Virginia,DT,75,299,5,26,32,111,4.46,8.09,0,0,0,Y
1999,dimitrius underwood,Michigan State,DE,78.3,281,4.88,,,,4.39,7.37,0,0,0,Y
1999,alton weaver,Oklahoma State,DE,75.4,296,5.05,17,29.5,101,4.44,7.62,0,0,0,N
1999,chris white,Southern (LA),DT,75,282,5.24,25,29,104,4.71,8.15,0,0,0,Y
1999,aaron williams,Indiana,DE,77,253,4.79,19,33.5,108,4.34,7.7,0,0,0,N
1999,jason wiltz,Nebraska,DT,75.6,308,5.36,,27.5,100,4.51,7.67,0,0,0,Y
1999,daren yancey,Brigham Young,DT,77.8,303,5.14,,26.5,92,,,0,0,0,Y
1999,peppi zellner,Fort Valley State (GA),DE,77,246,4.72,20,35.5,120,4.49,7.4,0,0,0,N
2000,michael boireau,Miami (FL),DE,76.1,274,5.12,26,29,105,4.49,7.68,0,0,0,Y
2000,robert brannon,Iowa State,DT,75.8,309,5.22,28,28.5,99,4.7,7.82,0,0,0,N
2000,lamont bryant,Notre Dame,DE,75.4,260,4.92,17,,,,,0,0,0,N
2000,leonardo carson,Auburn,DE,73.5,283,5.06,22,28,106,4.75,7.82,0,0,0,Y
2000,kendrick clancy,Mississippi,DT,72.9,283,5.28,25,27.5,108,4.65,7.98,0,0,0,Y
2000,chris combs,Duke,DT,76.8,286,5.18,22,,,,,0,0,0,Y
2000,rameel connor,Illinois,DE,75.3,276,5.01,25,35.5,121,4.45,7.65,0,0,0,N
2000,dj cooper,Arkansas,DT,74.9,277,5.23,,28,108,4.49,7.41,0,0,0,N
2000,jerry deloach,California,DT,74.9,314,5.01,19,31.5,101,4.57,7.4,0,0,0,N
2000,mike derouselle,Houston,DT,74.4,314,5.29,27,27.5,96,4.8,7.67,0,0,0,N
2000,john engelberger,Virginia Tech,DE,76.3,260,4.74,24,34,115,4.28,6.95,0,0,0,Y
2000,aaron fields,Troy (AL),DE,75.6,243,4.8,22,34,115,4.56,7.51,0,0,0,N
2000,erik flowers,Arizona State,DE,76.3,271,4.78,24,33,114,4.15,7.21,0,0,0,Y
2000,john frank,Utah,DE,75.8,280,4.81,32,37,117,4.27,7.07,1,0,1,Y
2000,byron frisch,Brigham Young,DE,76.4,281,4.77,31,34.5,114,4.41,7.2,0,0,0,Y
2000,ernest grant,Arkansas-Pine Bluff,DT,77.3,316,5.33,24,29.5,98,5.03,8,0,0,0,Y
2000,cornelius griffin,Alabama,DE,75.1,297,4.91,30,31,111,4.62,7.63,0,0,0,Y
2000,james hall,Michigan,DE,74.1,271,5.04,,32,111,4.51,7.86,0,0,0,N
2000,chris hovan,Boston College,DT,74.4,305,5,35,30,101,4.16,6.85,0,0,0,Y
2000,darren howard,Kansas State,DE,75.8,281,5.11,,29,108,4.32,7,0,0,0,Y
2000,aaron humphrey,Texas,DE,74.9,254,5.13,21,34,119,,,0,0,0,N
2000,jabari issa,Washington,DT,76.9,296,5.14,19,31.5,105,4.72,7.69,0,0,0,Y
2000,keith jackson,Cheyney (PA),DT,76.3,319,5.21,28,,,,,0,0,0,N
2000,dwight johnson,Baylor,DT,76,285,5.03,26,28,105,4.76,7.51,0,0,0,N
2000,jerry johnson,Florida State,DT,72.5,293,5.09,26,28.5,102,,,0,0,0,Y
2000,leif larsen,Texas-El Paso,DT,76.5,300,5.12,45,30,110,4.37,7.46,0,0,0,Y
2000,al lucas,Troy (AL),DT,72.6,294,5.03,28,36,108,4.56,7.44,0,0,0,N
2000,alvin mckinley,Mississippi State,DT,76,289,5.1,22,27.5,102,4.61,7.73,0,0,0,Y
2000,rob meier,Washington State,DE,77,284,5,27,30.5,113,4.52,7.49,0,0,0,Y
2000,quinton reese,Auburn,DE,76,283,5.13,18,30,101,4.68,7.91,0,0,0,Y
2000,fred robbins,Wake Forest,DT,75.8,312,5.13,25,29.5,94,4.72,7.72,0,0,0,Y
2000,richard seals,Utah,DT,74,316,5.15,24,28.5,102,4.6,7.78,0,0,0,Y
2000,adalius thomas,Southern Mississippi,DE,74.4,270,4.57,,38.5,120,4.42,,1,0,1,Y
2000,mao tosi,Idaho,DT,77.1,310,5.29,19,28.5,99,4.6,7.72,0,0,0,N
2000,mac tuiaea,Washington,DT,77.9,296,5.1,25,29,99,4.72,7.82,0,0,0,N
2000,steve warren,Nebraska,DT,72.6,307,5.14,29,30.5,105,4.56,7.97,0,0,0,Y
2000,josh williams,Michigan,DT,75.5,282,4.93,,30.5,111,4.25,7.22,0,0,0,Y
2000,cedric woodard,Texas,DT,74.5,290,5.23,23,30.5,109,,,0,0,0,Y
2000,brian young,Texas-El Paso,DE,74.4,278,4.96,27,29.5,106,4.47,7.2,1,0,1,Y
2001,monty beisel,Kansas State,DE,75.8,270,4.82,26,34.5,110,4.28,7.32,0,0,0,Y
2001,marcus bell,Memphis,DT,73.5,319,5.28,17,,98,4.71,8.07,0,0,0,Y
2001,derrick burgess,Mississippi,DE,74.4,264,4.9,24,40,125,,7.85,0,0,0,Y
2001,andre carter,California,DE,76.4,249,4.84,20,38.5,132,4.24,,1,1,1,Y
2001,derrick chambers,Florida,DT,75.6,299,4.98,32,,,,,0,0,0,N
2001,chris cooper,Nebraska-Omaha,DE,77.3,272,4.96,24,35.5,114,4.21,7.12,0,0,0,Y
2001,ennis davis,Southern California,DT,75.9,302,5.1,23,27.5,99,4.87,7.98,0,0,0,Y
2001,eric downing,Syracuse,DT,76,302,5.23,27,,,,,0,0,0,Y
2001,ron edwards,Texas A&M,DT,75.3,293,4.84,,,,,,0,0,0,Y
2001,mario fatafehi,Kansas State,DT,73.9,295,5.27,,,,,,0,0,0,Y
2001,casey hampton,Texas,DT,73.3,314,5.25,34,,,,,1,1,1,Y
2001,reggie hayward,Iowa State,DE,77,255,4.9,21,41,127,4.43,7.43,0,0,0,Y
2001,anthony herron,Iowa,DE,75,280,5.14,26,36,114,4.43,7.58,0,0,0,N
2001,menson holloway,Texas-El Paso,DE,74,284,4.9,19,34.5,111,4.43,7.54,0,0,0,Y
2001,willie howard,Stanford,DT,75.4,295,4.94,23,,,,,0,0,0,Y
2001,kris jenkins,Maryland,DT,76.9,318,5.18,33,31,108,4.4,7.85,0,0,0,Y
2001,rod kelly,Northeastern State (OK),DE,77,254,4.93,20,28.5,114,4.55,7.93,0,0,0,N
2001,ross kolodziej,Wisconsin,DE,75,290,4.87,25,34.5,111,4.36,7.32,0,0,0,Y
