year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,isbuilt,drafted
2005,thomas davis,Georgia,FS,73,230,4.64,,36.5,115,3.97,7.09,1,Y
2005,ben emanuel,UCLA,FS,75,212,4.57,21,,,,,1,Y
2005,diamond ferri,Syracuse,SS,70.1,223,4.64,20,35.5,111,4.14,7.15,0,N
2005,dustin fox,Ohio State,FS,71,191,4.43,7,43.5,,,,0,Y
2005,aaron francisco,Brigham Young,FS,73.9,211,4.76,17,35,110,4.07,6.96,1,N
2005,matt grootegoed,Southern California,SS,70.8,218,4.68,22,31.5,107,4.26,7.17,0,N
2005,jason harmon,Michigan State,FS,71.5,209,4.74,23,37,117,4.1,7.61,0,N
2005,terry holley,Rice (TX),SS,73.3,211,4.68,24,37,115,,,1,N
2005,jim leonhard,Wisconsin,FS,68.4,191,4.63,19,,,,,0,N
2005,andre maddox,North Carolina State,SS,72.6,205,4.51,17,36.5,127,,7.33,1,Y
2005,donte nicholson,Oklahoma,SS,73.5,212,4.55,18,,,,,1,Y
2005,kerry rhodes,Louisville,FS,74.5,209,4.59,12,42,123,4.12,6.94,1,Y
2005,gerald sensabaugh,North Carolina,FS,72.5,214,4.48,17,46,113,,,1,Y
2005,marviel underwood,San Diego State,FS,70.3,205,4.52,19,38,116,4.21,7.12,0,Y
2005,marquis weeks,Virginia,SS,70.5,216,4.62,23,36.5,119,3.89,7.46,0,N
2006,jahmile addae,West Virginia,FS,70.25,214,4.74,,38.5,122,,,0,N
2006,jason allen,Tennessee,FS,72.88,209,4.41,17,39.5,131,3.81,6.75,1,Y
2006,willie andrews,Baylor,SS,69.38,193,4.45,7,36.5,124,4.27,6.99,0,Y
2006,antoine bethea,Howard (DC),FS,71,203,4.42,19,36.5,127,4.11,6.99,0,Y
2006,darnell bing,Southern California,SS,74,227,4.52,17,34,120,4.07,7.25,1,Y
2006,greg blue,Georgia,FS,74.25,216,4.65,16,37.5,120,,,1,Y
2006,darrell brooks,Arizona,FS,72.38,198,4.71,7,36.5,125,4.36,6.97,0,N
2006,daniel bullocks,Nebraska,SS,72.5,212,4.4,18,38,124,4.16,6.91,1,Y
2006,marcus demps,San Diego State,FS,71.75,198,4.79,17,31,117,4.09,6.91,0,N
2006,reed doughty,Northern Colorado,FS,72.5,209,4.68,15,37,121,4.17,6.66,1,Y
2006,cedric griffin,Texas,FS,72.13,199,4.54,17,35.5,125,4.1,6.84,0,Y
2006,chris harrell,Penn State,SS,72.38,209,4.74,15,40.5,119,4.12,7.02,1,N
2006,jarvis herring,Florida,SS,71.13,207,4.92,15,36.5,116,4.23,7.34,0,N
2006,michael huff,Texas,SS,72,204,4.37,21,40.5,125,,,1,Y
