player,college,position,height,weight
"Murray, Nyqwan",Florida St.,WR,5-10,191
"Woods, Zedrick",Ole Miss,S,5-11,205
"Gilbert, Ulysees",Akron,LB,6-0,229
"Hall, Terez",Missouri,LB,6-1,230
"McIntosh, JoJo",Washington,S,6-0,219
"Jones, Jordan",Kentucky,LB,6-2,234
"Ingold, Alec",Wisconsin,FB,6-1,242
"Copeland, Marquise",Cincinnati,DL,6-2,290
"Green, Gerri",Miss. State,EDGE,6-4,252
"Thompson, Cody",Toledo,WR,6-1,205
"Eberle, Alec",Florida St.,OL,6-4,295
"Wesco, Trevon",West Virginia,TE,6-3,267
"Johnson, Darryl",North Carolina A&T,EDGE,6-6,253
"Allison, Jeff",Fresno St.,LB,5-11,228
"Sagapolu, Olive",Wisconsin,DL,6-2,324
"Carney, Malik",North Carolina,EDGE,6-2,251
"Barnes, Alex",Kansas St.,RB,6-0,226
"Gay, Matt",Utah,K,6-0,232
"Prescod, Terronne",NC State,OL,6-4,335
"Burkett, Jesse",Stanford,OL,6-3,304
"Ghaifan, Youhanna",Wyoming,DL,6-3,290
"Ursua, John",Hawaii,WR,5-10,175
"Nijman, Yosh",Virginia Tech,OL,6-7,324
"Amadi, Ugo",Oregon,S,5-9,199
"Helm, Daniel",Duke,TE,6-4,249
"Johnson, Fred",Florida,OL,6-7,326
"Anderson, Calvin",Rice,OL,6-5,300
"Crawford, Jonathan",Indiana,S,6-1,205
"Holder, Alijah",Stanford,CB,6-1,191
"Custis, Jamal",Syracuse,WR,6-4,214
"Egbule, Emeke",Houston,LB,6-2,245
"Mustipher, Sam",Notre Dame,OL,6-2,305
"Brown, Keenen",Texas St.,TE,6-2,250
"Garcia-Williams, Jamell",UAB,EDGE,6-8,245
"Fitzgerald, Nick",Miss. State,QB,6-5,226
"Summers, Ty",TCU,LB,6-1,241
"Johnson, Tyron",Oklahoma St.,WR,6-1,193
"Randall, Delvon",Temple,S,5-11,213
"Johnson, Chris",North Alabama,S,6-2,209
"Ta'amu, Jordan",Ole Miss,QB,6-3,221
"Pope, Ryan",San Diego St.,OL,6-7,320
"Baron, John",San Diego St.,K,5-9,200
"Dineen, Joe",Kansas,LB,6-2,235
"McLaurin, Mark",Miss. State,S,6-1,212
"Watts, Armon",Arkansas,DL,6-5,300
"Johnson, Jah'Shawn",Texas Tech,S,5-10,185
"Wyatt, Jordan",SMU,CB,6-0,195
"Opeta, Iosua",Weber State,OL,6-4,301
"Way, Jamarius",South Alabama,WR,6-3,215
"Johnson, Devon",Ferris State,OL,6-7,338
"Linder, Nick",Indiana,OL,6-3,303
"Whyte,, Kerrith",FAU,RB,5-10,200
"Nelson, Matt",Iowa,DL,6-8,295
"Reed, Malik",Nevada,LB,6-1,237
"Davis, Davante",Texas,CB,6-2,202
"Fox, Jack",Rice,P,6-2,213
"Watson, Tre",Maryland,LB,6-2,235
"Young, Juwon",Marshall,LB,6-2,250
"Tuttle, Shy",Tennessee,DL,6-2,308
"Crockett, Damarea",Missouri,RB,5-10,225
"Lewis, Donnie",Tulane,CB,6-0,190
"Davis, Ryan",Auburn,WR,5-10,189
"Palmore, Walter",Missouri,DL,6-4,320
"Duck, Clifton",App. St.,CB,5-10,175
"Durante, Jovon",FAU,WR,5-11,160
"Betts, Mathieu",Laval (Canada),EDGE,6-3,258
"Forbes, Drew",Southeast Missouri State,OL,6-5,305
"Rawlings, Sean",Ole Miss,OL,6-4,294
"Boulware, Venzell",Miami (Fla.),OL,6-3,306
"Trewyn, Nate",Wisconsin-Whitewater,OL,6-4,315
"Knight, Brandon",Indiana,OL,6-4,314
"Mone, Bryan",Michigan,DL,6-4,325
"Lobendahn, Toa",USC,OL,6-3,295
"Allen-Williams, Bryson",South Carolina,LB,6-1,236
"Nelson, Chris",Texas,DL,6-1,306
"Jefferson, CeCe",Florida,EDGE,6-1,266
"Bee, Ryan",Marshall,DL,6-7,280
"Snyder, Brandon",South Dakota State,S,6-1,210
"Shurmur, Kyle",Vanderbilt,QB,6-4,230
"Needham, Nik",UTEP,CB,6-0,203
"Lapuaho, Ului",BYU,OL,6-7,340
"Sutherland, Keaton",Texas A&M,OL,6-5,315
"McNeil, Lukayus",Louisville,OL,6-6,328
"Pridgeon, Malcolm",Ohio St.,OL,6-7,310
"Bonner, Lanard",Arkansas St.,OL,6-3,316
"Johnson, Jon'Vea",Toledo,WR,6-0,188
"Odenigbo, Tito",Miami (Fla.),DL,6-3,300
"St., Tyree",Miami (Fla.),OL,6-5,305
