player,benchpress,vert_jump_in,broad_jump_in,3cone,shuttle,40yards,height_in,weight_lbs
"Tell, Marvell",,42,136,6.63,4.01,,74,198
"Thomas, Derrek",8,39.5,131,,,4.44,75,189
"Thompson, Cody",19,38.5,119,6.87,4.03,4.57,73,205
"Thornhill, Juan",21,44,141,,,4.42,72,205
"Tillery, Jerry",23,32,115,7.45,4.33,4.93,78,295
"Tranquill, Drue",31,37.5,122,6.94,4.14,4.57,74,234
"Udoh, Oli",26,28.5,105,7.88,5.05,5.05,77,323
"Van Ginkel, Andrew",17,38,123,6.89,4.14,,75,241
"Warring, Kahale",19,36.5,122,7.21,4.25,4.67,77,252
"Watts, Armon",,,,,,5.23,77,300
"Way, Jamarius",16,32.5,119,,4.66,4.63,75,215
"Weber, Mike",22,33.5,,,,4.47,70,211
"Webster, Ken",18,43,133,6.85,4.14,4.43,71,203
"Wesco, Trevon",24,31,117,7.18,4.38,4.89,75,267
"Wesley, Antoine",6,37,117,7.07,4.26,,76,206
"Wesley, Alex",13,38.5,125,7.4,4.44,4.45,72,190
"West, Darius",19,33.5,113,,,4.39,71,208
"White, Devin",22,39.5,118,7.07,4.17,4.42,72,237
"Wilkins, Christian",28,29.5,107,,4.55,5.04,75,315
"Williams, Dexter",17,36,130,7,4.16,4.57,71,212
"Williams, Trayveon",19,33,121,7.44,4.44,4.51,68,206
"Williams, James",,36.5,118,7.01,4.25,4.58,69,197
"Williams, Jonah",23,28,100,8.01,4.79,5.12,76,302
"Williams, Quinnen",,30.5,112,,,4.83,75,303
"Williams, Greedy",,,,,,4.37,74,185
"Williams, Joejuan",17,,,,,4.64,76,211
"Willis, Khari",22,34.5,118,,,4.52,71,213
"Wilson, Caleb",,29,113,7.2,4.4,4.56,76,240
"Wilson, Mack",,32,117,,,,73,240
"Wilson, Donovan",18,36,127,,,,72,199
"Wingard, Andrew",9,36.5,121,7.08,4.2,4.56,72,209
"Winovich, Chase",18,30.5,116,6.94,4.11,4.59,75,256
"Wise, Daniel",22,27.5,112,7.53,4.37,5.28,75,281
"Wishnowsky, Mitch",,32.5,117,,,4.63,74,218
"Woods, Zedrick",19,34.5,122,7,4.15,4.29,71,205
"Worthington, Evan",17,33.5,121,7.07,4.37,4.63,74,212
"Wren, Renell",30,32,118,7.65,4.53,5.01,77,318
"Ximines, Oshane",24,34,118,7.13,4.57,4.78,75,253
"Ya-Sin, Rock",18,39.5,120,7.31,4.31,4.51,72,192
