player,bench,vert,broad,cone,twenty,forty
"Watts, Armon",,,,,,5.23
"Way, Jamarius",16.0,32.5,119.0,,4.66,4.63
"Weber, Mike",22.0,33.5,,,,4.47
"Webster, Ken",18.0,43.0,133.0,6.85,4.14,4.43
"Wesco, Trevon",24.0,31.0,117.0,7.18,4.38,4.89
"Wesley, Antoine",6.0,37.0,117.0,7.07,4.26,
"Wesley, Alex",13.0,38.5,125.0,7.4,4.44,4.45
"West, Darius",19.0,33.5,113.0,,,4.39
"White, Devin",22.0,39.5,118.0,7.07,4.17,4.42
"Wilkins, Christian",28.0,29.5,107.0,,4.55,5.04
"Williams, Dexter",17.0,36.0,130.0,7.0,4.16,4.57
"Williams, Trayveon",19.0,33.0,121.0,7.44,4.44,4.51
"Williams, James",,36.5,118.0,7.01,4.25,4.58
"Williams, Jonah",23.0,28.0,100.0,8.01,4.79,5.12
"Williams, Quinnen",,30.5,112.0,,,4.83
"Williams, Greedy",,,,,,4.37
"Williams, Joejuan",17.0,,,,,4.64
"Willis, Khari",22.0,34.5,118.0,,,4.52
"Wilson, Caleb",,29.0,113.0,7.2,4.4,4.56
"Wilson, Mack",,32.0,117.0,,,
"Wilson, Donovan",18.0,36.0,127.0,,,
"Wingard, Andrew",9.0,36.5,121.0,7.08,4.2,4.56
"Winovich, Chase",18.0,30.5,116.0,6.94,4.11,4.59
"Wise, Daniel",22.0,27.5,112.0,7.53,4.37,5.28
"Wishnowsky, Mitch",,32.5,117.0,,,4.63
"Woods, Zedrick",19.0,34.5,122.0,7.0,4.15,4.29
"Worthington, Evan",17.0,33.5,121.0,7.07,4.37,4.63
"Wren, Renell",30.0,32.0,118.0,7.65,4.53,5.01
"Ximines, Oshane",24.0,34.0,118.0,7.13,4.57,4.78
"Ya-Sin, Rock",18.0,39.5,120.0,7.31,4.31,4.51
