year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,wonaward,outland,drafted
1998,jeff saturday,North Carolina,C,74.4,292,5.24,25,25,100,4.85,8.52,0,0,N
1998,nathan strikwerda,Northwestern,C,76.1,296,5.24,27,26,97,4.52,8.03,0,0,Y
1998,melvin thomas,Colorado,OG,75.3,322,5.41,21,28,,,,0,0,Y
1998,tra thomas,Florida State,OT,79.8,349,,24,,,,,0,0,Y
1998,lamont turner,Hampton (VA),OG,77.4,316,5.47,18,27.5,89,5.16,8.85,0,0,N
1998,robert wade,Marshall (WV),C,77.1,302,5.51,19,25,,,,0,0,N
1998,todd washington,Virginia Tech,OG,75.1,312,5.4,15,25.5,101,4.81,8.33,0,0,Y
1998,todd weiner,Kansas State,OT,76.4,297,5.07,27,33.5,108,4.53,8.15,0,0,Y
1998,sammy williams,Oklahoma,OT,76.5,318,5.5,16,25.5,98,5.16,9.28,0,0,Y
1999,ben adams,Texas,OG,76.9,324,5.36,26,25.5,97,4.83,7.86,0,0,N
1999,phillip armour,North Texas,C,75,318,5.56,23,30.5,95,4.59,7.63,0,0,N
1999,octavious bishop,Texas,OT,76.4,354,5.84,22,,,,,0,0,N
1999,wilbert brown,Houston,OG,74.1,311,5.52,22,26,98,5.02,8.46,0,0,N
1999,doug brzezinski,Boston College,OG,75.9,309,5.32,26,26,98,4.53,,0,0,Y
1999,brandon bulsworth,Arkansas,OG,76,308,5.01,24,31.5,111,4.43,7.43,0,0,N
1999,justin burroughs,North Carolina State,C,76,288,4.86,23,33,114,4.23,7.36,0,0,N
1999,anthony cesario,Colorado State,OG,77.5,312,5.3,,26.5,102,,,0,0,Y
1999,tony coats,Washington,OG,78.5,312,5.36,21,30,101,4.54,7.79,0,0,Y
1999,dan collins,Boston College,OG,76,282,5.03,20,24,100,,,0,0,N
1999,kris comstock,Kentucky,OT,79.9,319,5.54,17,23.5,97,4.84,8.19,0,0,N
1999,mondell corbett,East Carolina (NC),OG,74.1,313,5.38,21,29,98,4.77,8.03,0,0,N
1999,demarcus curry,Auburn,OT,77,317,5.35,20,25.5,98,4.69,7.98,0,0,N
