year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,defint,defyds,defavg,deftds,hasbling,allamerican,hasawards,drafted
2001,anthony henry,South Florida,CB,72.8,198,4.57,15,41,126,4.2,6.9,5,88,17.6,0,0,0,0,Y
2001,renaldo hill,Michigan State,CB,71,178,4.59,10,35.5,116,4.18,7.07,9,28,3.1,0,0,0,0,Y
2001,rashad holman,Louisville,CB,70.6,186,4.58,6,42,129,3.85,7.09,14,89,6.4,0,0,0,0,Y
2001,ligarius jennings,Tennessee State,CB,69.5,202,4.62,11,34,120,4.03,7.07,,,,,0,0,0,N
2001,bhawoh jue,Penn State,CB,72.3,199,4.53,,34.5,113,4.27,7.21,7,107,15.3,1,0,0,0,Y
2001,eric kelly,Kentucky,CB,70.5,199,4.47,15,36,120,4.18,7.24,4,72,18,0,0,0,0,Y
2001,willie middlebrooks,Minnesota,CB,73.6,200,4.5,17,,,,,4,55,13.8,1,0,0,0,Y
2001,keon moore,Southern Mississippi,CB,70.9,193,4.57,10,37.5,119,4.2,7.06,2,-4,-2,0,0,0,0,N
2001,leonard myers,Miami (FL),CB,70.3,190,4.57,13,37,120,4.16,7.21,9,160,17.8,2,0,0,0,Y
2001,will peterson,Western Illinois,CB,72,197,4.51,13,38.5,120,,,4,76,19,1,0,0,0,N
2001,carey scott,Kentucky State,CB,71.1,208,4.58,,30,113,4.18,7.52,,,,,0,0,0,Y
2001,dwight smith,Akron,CB,69.6,212,4.5,15,33.5,114,,,15,261,17.4,3,1,1,1,Y
2001,michael stone,Memphis,CB,71.3,191,4.51,17,41,127,,,3,28,9.3,0,0,0,0,Y
2001,clevan thomas,Florida State,CB,69.1,189,4.6,,36,118,4.24,7.42,6,27,4.5,0,0,0,0,N
2001,raymond walls,Southern Mississippi,CB,70.8,176,4.49,,39,124,4.18,,4,54,13.5,1,0,0,0,Y
2001,james whitley,Michigan,CB,70.4,193,4.7,9,39,118,4.4,7.04,5,17,3.4,0,0,0,0,N
2001,brock williams,Notre Dame,CB,69.6,183,4.46,11,42.5,130,4.21,6.7,2,3,1.5,0,0,0,0,Y
2001,jimmy williams,Vanderbilt,CB,70.1,188,4.6,,36,120,,7.12,10,158,15.8,0,0,0,0,Y
2002,rashad bauman,Oregon,CB,68.3,186,4.47,10,39,117,,,12,293,24.4,3,0,0,0,Y
2002,tony beckham,Wisconsin-Stout,CB,73,195,4.37,15,34.5,121,4.3,7.12,,,,,0,0,0,Y
2002,bruce branch,Penn State,CB,70.9,192,4.59,,35,112,4.47,7.12,3,33,11,0,0,0,0,N
2002,sheldon brown,South Carolina,CB,69.9,196,4.46,15,36.5,118,4.24,7,10,206,20.6,0,0,0,0,Y
2002,jermaine chatman,Arizona,CB,70.6,185,4.54,,35.5,118,,,6,64,10.7,0,0,0,0,N
2002,keyuo craver,Nebraska,CB,70.8,201,4.57,13,31,116,,,7,115,16.4,1,0,0,0,Y
2002,demarcus faggins,Kansas State,CB,70.5,178,4.56,3,36.5,118,3.92,6.64,5,89,17.8,0,0,0,0,N
2002,willie ford,Syracuse,CB,73.5,195,4.57,10,34,117,4.33,7.25,3,39,13,0,0,0,0,N
2002,lavar glover,Cincinnati,CB,69.5,177,4.57,11,37,114,4.29,7.18,2,68,34,2,0,0,0,Y
2002,quentin jammer,Texas,CB,71.9,204,4.49,18,36,124,,,7,29,4.1,0,1,1,1,Y
2002,joseph jefferson,Western Kentucky,CB,71.5,205,4.37,8,39.5,117,4.01,6.84,,,,,0,0,0,Y
2002,eric joyce,Tennessee State,CB,69.1,192,4.55,11,40.5,114,3.97,6.81,,,,,0,0,0,N
2002,omare lowe,Washington,CB,72.9,196,4.54,12,35.5,115,3.97,6.65,5,52,10.4,1,0,0,0,Y
2002,tony okanlawon,Maryland,CB,71,185,4.67,16,38,118,4.39,7.37,6,60,10,0,0,0,0,N
2002,kris richard,Southern California,CB,71,186,4.46,10,39.5,117,4.15,,8,157,19.6,3,0,0,0,Y
2002,bobby sippio,Western Kentucky,CB,75,214,4.73,12,37,120,4.2,6.78,,,,,0,0,0,N
2002,kevin thomas,Nevada Las Vegas,CB,71.3,180,4.68,10,35,122,,,,,,,0,0,0,Y
2002,lenny walls,Boston College,CB,76.3,192,4.7,7,37,115,,,9,55,6.1,1,0,0,0,N
2002,dante wesley,Arkansas-Pine Bluff,CB,72.6,211,4.47,15,35,114,4.22,7.25,,,,,0,0,0,Y
2002,brian williams,North Carolina State,CB,71.6,207,4.58,19,39,122,4.2,7.21,5,14,2.8,0,0,0,0,Y
2002,roosevelt williams,Tuskegee (AL),CB,71.4,204,4.59,23,38,119,,,,,,,0,0,0,Y
2003,nnamdi asomugha,California,CB,74.4,213,4.5,16,37.5,124,,,7,127,18.1,3,0,0,0,Y
2003,rod babers,Texas,CB,68.8,192,4.46,15,37,127,4.06,6.82,,,,,0,0,0,N
2003,korey banks,Mississippi State,CB,69.9,188,4.59,15,,,,,7,35,5,0,0,0,0,N
2003,torrie cox,Pittsburgh,CB,69.3,181,4.55,,32,119,4.15,6.96,3,41,13.7,0,0,0,0,Y
2003,sammy davis,Texas A&M,CB,71.8,186,4.45,19,40,131,,7,11,112,10.2,0,0,0,0,Y
2003,drayton florence,Tuskegee (AL),CB,72.3,198,4.42,18,35,124,,,,,,,0,0,0,Y
2003,kevin garrett,Southern Methodist (TX),CB,69.4,194,4.32,,35,129,3.96,6.89,7,98,14,1,0,0,0,Y
2003,jason goss,Texas Christian,CB,70,183,4.72,15,32.5,117,4.24,7.46,14,50,3.6,0,0,0,0,N
2003,dejuan groce,Nebraska,CB,69.6,192,4.54,18,36,118,3.96,6.81,8,75,9.4,0,0,0,0,Y
2003,mike lehan,Minnesota,CB,71.8,196,4.52,13,34.5,119,4.1,6.94,,,,,0,0,0,N
