year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
2011,jimmy young,Texas Christian,WR,73,204,4.5,19,37,115,4.18,7.08,N
2013,ryan spadola,Lehigh (PA),WR,73.25,204,4.48,15,33.5,119,4.07,6.72,N
1998,ed williams,Iowa State,WR,74.4,204,4.65,,32,108,4.03,7.32,N
2010,seyi ajirotutu,Fresno State (CA),WR,75.38,204,4.6,14,36,115,4.39,7.22,N
2009,aaron kelly,Clemson,WR,76.5,204,4.49,11,38,119,4.45,7.25,N
2007,marquay mcdaniel,Hampton (VA),WR,70.5,205,4.58,19,33.5,114,4.35,7.13,N
2012,tim benford,Tennessee Tech,WR,71.25,205,4.51,15,,,,,N
2017,noel thomas,Connecticut,WR,72.13,205,4.63,9,32.5,118,,,N
1997,chad mackey,Louisiana Tech,WR,72.9,205,4.68,,34,115,3.99,7.06,N
2008,shaheer mcbride,Delaware State,WR,73.5,205,4.68,,29,112,4.48,7.12,N
2002,emmett johnson,Virginia Tech,WR,73.9,205,4.45,,39,120,4.1,7.15,N
2018,chris lacy,Oklahoma State,WR,75,205,4.51,11,33.5,120,,,N
2006,chris hannon,Tennessee,WR,75.25,205,4.5,,34.5,122,,,N
2013,tyrone goard,Eastern Kentucky,WR,75.75,205,4.5,10,36,123,4.39,6.9,N
2002,lawrence story,Jackson State (MS),WR,76.6,205,4.67,,33.5,110,4.16,7.06,N
2010,jeremy williams,Tulane (LA),WR,72.13,206,4.59,14,36,117,,6.73,N
2009,taurus johnson,South Florida,WR,72.25,206,4.49,18,35.5,121,4.24,7.37,N
2016,nelson spruce,Colorado,WR,73.13,206,4.69,12,35,114,4.2,7.09,N
2016,alonzo russell,Toledo,WR,75.63,206,4.54,12,29.5,112,4.33,7.18,N
2014,chris boyd,Vanderbilt,WR,76,206,4.73,12,,,,,N
1998,toussaint waterman,Northwestern,WR,72.4,207,4.66,,34,118,4.04,7.64,N
1999,gerald williams,Oklahoma,WR,75,207,4.45,,35.5,117,3.96,7.09,N
2016,mekale mckay,Cincinnati,WR,75.63,207,4.55,12,35,123,4.63,7.08,N
2004,terrance copper,East Carolina (NC),WR,71.9,208,4.51,,35.5,116,4.31,7.34,N
2003,ronald bellamy,Michigan,WR,72,208,4.57,,30.5,119,4.09,7.37,N
2007,djuan woods,Oklahoma State,WR,72.5,208,4.62,,36.5,120,4.34,6.89,N
2017,amba ettatawo,Syracuse,WR,73.25,208,4.49,14,31,126,4.32,6.95,N
2000,kwame cavil,Texas,WR,73.6,208,4.54,,39.5,118,,,N
2003,kassim osgood,San Diego State,WR,76.9,208,4.7,,31,122,4.4,7.19,N
2015,antwan goodley,Baylor,WR,70.25,209,4.44,,,,,,N
2012,jermaine kearse,Washington,WR,72.88,209,4.5,14,34,119,4.12,7.03,N
2010,shay hodge,Mississippi,WR,73.25,209,4.62,11,33.5,117,4.32,6.9,N
2010,blair white,Michigan State,WR,74.25,209,4.49,18,33.5,115,4.03,6.69,N
2016,cayleb jones,Arizona,WR,74.63,209,4.65,9,33.5,,4.14,6.99,N
2011,armon binns,Cincinnati,WR,75,209,4.5,13,31.5,118,4.31,6.86,N
2006,richie ross,Nebraska-Kearney,WR,75.88,209,4.64,,37,120,4.29,6.95,N
2012,derek moye,Penn State,WR,76.25,209,4.46,10,33.5,115,4.23,,N
2007,aaron fairooz,Central Arkansas,WR,77.75,209,4.52,,36,125,4.27,6.89,N
1997,juan daniels,Georgia,WR,73.1,210,4.59,,34.5,114,4.33,7.54,N
2007,jarrett hicks,Texas Tech,WR,74.88,210,4.7,,34.5,120,,,N
2004,derek mccoy,Colorado,WR,75.3,210,4.73,,38,128,4.09,7.1,N
2011,andre holmes,Hillsdale (MI),WR,76.38,210,4.51,11,35,130,4.31,6.69,N
2010,stephen williams,Toledo,WR,76.5,210,4.5,15,36.5,125,4.11,6.81,N
2002,brian polidixon,UCLA,WR,77,210,4.5,,,,,,N
2006,jason carter,Texas A&M,WR,71.63,211,4.62,,33,116,4.21,6.89,N
2000,chris coleman,North Carolina State,WR,71.8,211,4.65,,32.5,110,4.1,6.79,N
2008,mark bradford,Stanford,WR,72.75,211,4.75,19,36.5,120,4.47,7.12,N
1999,derrius thompson,Baylor,WR,74,211,4.6,,41.5,112,4.13,7.31,N
2015,cam worthy,East Carolina (NC),WR,74,211,4.59,12,,,,,N
2002,rj english,Pittsburgh,WR,74.1,211,4.62,,37.5,119,4.11,7.03,N
2010,chris bell,Norfolk State (VA),WR,74.13,211,4.5,15,35,117,4.35,6.76,N
2011,ricardo lockette,Fort Valley State (GA),WR,74.13,211,4.34,,35.5,127,4.19,7.15,N
1999,kenny cheatham,Nebraska,WR,75,211,4.6,,36,115,,,N
2007,jayson swain,Tennessee,WR,72.38,212,4.64,,33,,,,N
1999,shawn foreman,West Virginia,WR,72.9,212,4.79,,32,108,4.41,7.75,N
2017,keon hatcher,Arkansas,WR,73.25,212,4.64,16,,,4.28,,N
1999,michael vaughn,Alabama,WR,74,212,4.57,,33.5,113,4.32,7.32,N
2011,terrance toliver,Louisiana State,WR,75.5,212,4.52,,32,122,4.03,6.48,N
2004,justin jenkins,Mississippi State,WR,71.5,213,4.6,,35,123,4.16,7.47,N
2004,george wilson,Arkansas,WR,72.1,213,4.6,,35,120,3.98,7.07,N
2017,fred ross,Mississippi State,WR,72.63,213,4.51,10,35,113,4.28,6.99,N
2004,james newson,Oregon State,WR,72.8,213,4.85,,31.5,116,,7.41,N
2014,shaquelle evans,UCLA,WR,73.25,213,4.51,13,34.5,122,4.21,7.07,N
2006,martin nance,Miami (OH),WR,76.25,213,4.58,,33.5,112,4.08,6.91,N
2010,donald jones,Youngstown State (OH),WR,72.38,214,4.46,20,41,119,4.2,6.9,N
2008,will franklin,Missouri,WR,72.5,214,4.39,,34.5,,,,N
2009,andrew means,Indiana,WR,72.63,214,4.46,12,34.5,116,4.21,6.85,N
2006,damarius bilbo,Georgia Tech,WR,73.88,214,4.73,19,36.5,115,4.18,6.9,N
2005,tony madison,Hampton (VA),WR,74,214,4.52,,39,121,4.31,7.14,N
2005,reggie harrell,Texas Christian,WR,74.75,214,4.61,,35,111,4.11,7.42,N
2006,clinton solomon,Iowa,WR,74.75,214,4.6,,33,114,4.46,7.17,N
2008,todd blythe,Iowa State,WR,76.88,214,4.69,,31.5,118,4.23,6.92,N
1998,nakia jenkins,Utah State,WR,72.9,215,4.71,,34,115,,,N
2006,miles austin,Monmouth (NJ),WR,74.13,215,4.5,21,40.5,123,4.14,7.09,N
2011,lestar jean,Florida Atlantic,WR,75,215,4.61,14,37.5,113,4.43,7.45,N
1999,lc stevens,North Carolina,WR,75.9,215,4.66,,35,116,4.24,7.24,N
2017,darreus rogers,Southern California,WR,72.63,216,,8,26.5,112,4.54,7.22,N
2010,scott long,Louisville,WR,74.13,216,4.46,20,41.5,123,4.09,6.45,N
2011,tori gurley,South Carolina,WR,76.13,216,4.53,15,33.5,118,4.25,7.05,N
2013,brandon kaufman,Eastern Washington,WR,77,216,4.67,9,33.5,115,4.44,7.11,N
2007,matt trannon,Michigan State,WR,78,216,4.59,13,36.5,118,4.34,7.09,N
2014,bennie fowler,Michigan State,WR,73.25,217,4.52,,36,125,4.18,7.06,N
2012,jarrett boykin,Virginia Tech,WR,73.75,217,4.62,11,36,123,4.28,7.12,N
2007,ryan moore,Miami (FL),WR,74.25,217,4.56,,32,110,4.35,6.87,N
1999,kenny mitchell,Arizona State,WR,74.4,217,4.73,,37,118,,7.1,N
2013,darick rogers,Tennessee Tech,WR,74.5,217,4.52,10,39.5,132,4.06,6.71,N
2015,ezell ruffin,San Diego State,WR,71.63,218,4.68,17,27.5,110,4.58,7.35,N
2007,syvelle newton,South Carolina,WR,72.75,218,4.67,20,,,,,N
2014,marcus lucas,Missouri,WR,75.75,218,4.6,20,36,123,4.25,7.07,N
2004,maurice brown,Iowa,WR,72.3,219,4.54,,33,117,4.21,7.38,N
2017,zach pascal,Old Dominion (VA),WR,73.75,219,4.55,14,36,126,4.29,7.11,N
1999,tony small,Georgia,WR,73.9,220,4.64,,35,115,4.32,7.39,N
2017,jalen robinette,Air Force,WR,74.75,220,4.62,13,31.5,120,4.46,6.77,N
2015,devante davis,Nevada Las Vegas,WR,74.88,220,4.57,16,35.5,115,4.12,7.25,N
2018,simmie cobbs,Indiana,WR,75,220,4.64,11,30,113,4.32,6.7,N
2016,keyarris garrett,Tulsa (OK),WR,75.38,220,4.53,14,36.5,128,4.33,7.3,N
2005,chauncey stovall,Florida State,WR,72.75,221,4.66,,,,,,N
2017,bug howard,North Carolina,WR,75.63,221,4.58,,37.5,119,4.14,6.95,N
2017,krishawn hogan,Marian (IN),WR,74.63,222,4.56,13,36.5,124,4.21,6.74,N
2005,tommy manus,Morgan State (MD),WR,75.88,222,4.61,,38,120,4.34,7.2,N
2016,marquez north,Tennessee,WR,74.5,223,4.48,17,35,123,4.13,6.9,N
2008,adarius bowman,Oklahoma State,WR,74.88,223,4.77,14,,,,,N
2014,cody hoffman,Brigham Young,WR,75.88,223,4.65,13,27.5,108,4.2,6.89,N
2012,jeff fuller,Texas A&M,WR,76.13,223,4.58,17,,,,,N
1999,tywan mitchell,Minnesota State,WR,77,223,4.74,,30.5,108,,7.6,N
2014,trey burton,Florida,WR,74.13,224,4.62,,30,111,4.32,7.14,N
2006,hank baskett,New Mexico,WR,74.88,224,4.52,,35,119,4.17,6.79,N
2006,chris denney,Nebraska-Omaha,WR,75,224,4.66,13,33,110,4.33,7.02,N
2016,derunnya wilson,Mississippi State,WR,76,224,4.85,,28,113,,,N
2013,rodney smith,Florida State,WR,76.38,225,4.51,,34.5,120,4.07,7.03,N
2014,brandon coleman,Rutgers,WR,78,225,4.56,21,32.5,,4.51,7.33,N
2017,jerome lane,Akron,WR,74.13,226,4.6,16,35,125,4.12,6.87,N
2012,gerell robinson,Arizona State,WR,75.13,227,4.54,,35.5,113,4.15,,N
2018,allen lazard,Iowa State,WR,77,227,4.55,17,38,122,,,N
2016,duke williams,Auburn,WR,74.25,229,4.72,14,30,121,4.47,7.43,N
1998,chris anderson,Colorado,WR,74.4,230,4.85,,34,110,4.3,7.65,N
2012,dwight jones,North Carolina,WR,75.25,230,4.51,14,33,109,,,N
2001,marcus williams,Washington State,WR,77,230,4.56,,41,130,4.2,7.37,N
2013,mark harrison,Rutgers,WR,74.88,231,4.46,17,38.5,129,4.33,6.99,N
2013,marcus davis,Virginia Tech,WR,75,233,4.56,19,39.5,120,,7.15,N
2011,deandre brown,Southern Mississippi,WR,77.63,233,4.59,20,29,117,4.33,6.93,N
2004,freddie smith,Georgia Tech,WR,73.6,234,4.79,24,32.5,114,4.4,,N
2016,devon cajuste,Stanford,WR,75.75,234,4.62,12,36,123,4.2,6.49,N
2006,anthony mix,Auburn,WR,76.25,235,4.5,,31.5,111,,,N
2014,anthony denham,Utah,WR,76.5,235,4.77,,32.5,,,,N
2009,jaison williams,Oregon,WR,76,237,4.63,14,35.5,118,4.56,7.37,N
2017,ricky sealsjones,Texas A&M,WR,76.63,243,4.69,17,28,121,4.33,7.46,N
2017,billy brown,Shepherd (WV),WR,75.38,254,4.7,23,29,118,4.14,,N
2002,aaron lockett,Kansas State,WR,67.4,155,4.34,,35,112,4.11,6.84,Y
2014,tevin reese,Baylor,WR,70.5,163,4.46,,41,132,4.18,6.63,Y
1999,craig yeast,Kentucky,WR,67.6,164,4.49,,32.5,112,4.14,7.31,Y
2014,jalen saunders,Oklahoma,WR,68.88,165,4.44,,34,122,,,Y
2010,trindon holliday,Louisiana State,WR,65.25,166,4.21,10,42,116,4.48,6.54,Y
1999,eugene baker,Kent State (OH),WR,72.5,167,4.46,,36.5,118,4.03,6.9,Y
