year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
2000,kabeer gbajabiamila,San Diego State,OLB,76.0,243,4.65,21.0,34.0,120.0,4.28,6.9,Y
2000,ian gold,Michigan,OLB,73.1,221,4.58,21.0,33.0,115.0,4.19,6.97,Y
2000,barrett green,West Virginia,OLB,73.0,233,4.56,22.0,36.0,120.0,,,Y
2000,clark haggans,Colorado State,OLB,75.4,253,5.01,20.0,31.5,109.0,4.21,7.12,Y
2000,dhani jones,Michigan,OLB,73.1,240,4.69,29.0,,,,,Y
2000,fred jones,Colorado,OLB,74.0,247,4.98,17.0,32.0,113.0,4.39,7.27,N
2000,dustin lyman,Wake Forest,ILB,76.0,259,4.7,22.0,35.0,118.0,4.06,6.86,Y
2000,keith miller,California,ILB,73.1,246,5.01,24.0,27.5,110.0,4.43,7.37,N
2000,corey moore,Virginia Tech,OLB,70.9,223,4.62,21.0,,,,,Y
2000,rob morris,Brigham Young,ILB,73.9,250,4.77,18.0,33.0,113.0,4.17,6.93,Y
2000,andre oneal,Marshall (WV),ILB,73.3,235,4.72,16.0,34.0,114.0,4.24,7.3,N
2000,cedric pittman,Nevada,OLB,75.0,261,4.9,20.0,30.5,111.0,4.52,7.75,N
2000,dashon polk,Arizona,OLB,73.9,233,4.77,18.0,32.0,111.0,4.45,7.43,Y
2000,sekou sanyika,California,OLB,75.3,241,4.75,21.0,32.5,111.0,4.38,7.33,Y
2000,mark simoneau,Kansas State,OLB,72.0,237,4.63,24.0,36.0,117.0,4.09,7.08,Y
2000,peter sirmon,Oregon,ILB,73.9,246,4.86,20.0,34.5,115.0,4.27,7.21,Y
2000,tj slaughter,Southern Mississippi,ILB,72.1,247,4.91,24.0,30.0,112.0,4.26,7.08,Y
2000,jamel smith,Virginia Tech,ILB,72.5,245,5.19,,29.5,108.0,4.58,7.51,N
2000,shannon taylor,Virginia,OLB,74.9,249,4.65,,34.5,115.0,,,Y
2000,jeff ulbrich,Hawaii,ILB,72.4,249,4.7,24.0,32.0,109.0,4.3,7.23,Y
2000,brian urlacher,New Mexico,OLB,75.9,258,4.61,27.0,34.0,122.0,4.18,6.94,Y
