year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,allamerican,hasawards,hasbling,scrimyds,scrimplays,scrimypa,scrimtds,drafted
2002,mike banks,Iowa State,TE,76,260,4.85,,31.5,104,,,0,0,0,584,59,9.9,0,Y
2002,dwayne blakley,Missouri,TE,76.9,256,5,21,32.5,107,4.29,7.33,0,0,0,868,79,11,12,N
2002,daniel graham,Colorado,TE,75.1,248,4.64,,36,116,,,1,1,1,1543,106,14.6,11,N
2002,ryan hannam,Northern Iowa,TE,74.5,251,4.7,18,30.5,110,4.21,7.07,0,0,0,,,,,Y
2002,keith heinrich,Sam Houston State (TX),TE,77.5,255,4.75,21,35,119,4.1,6.87,0,0,0,,,,,Y
2002,doug jolley,Brigham Young,TE,76.3,251,4.67,18,38,114,4.18,6.9,0,0,0,759,53,14.3,11,Y
2002,terry jones,Alabama,TE,74.9,265,4.88,20,33.5,110,4.43,7.43,0,0,0,480,31,15.5,3,N
2002,chris luzar,Virginia,TE,79.1,270,4.77,22,32.5,113,4.17,6.84,0,0,0,598,53,11.3,0,Y
2002,ivory mccoy,Michigan State,TE,76,240,4.59,25,35,113,4.24,7.3,0,0,0,467,43,10.9,5,N
2002,randy mcmichael,Georgia,TE,75,247,4.84,18,29.5,111,4.28,7.56,0,0,0,1213,90,13.5,5,Y
2002,josh norman,Oklahoma,TE,74,236,4.65,18,32,115,4.23,7.09,0,0,0,1157,112,10.3,9,N
2002,john owens,Notre Dame,TE,75,265,4.77,21,38.5,115,,,0,0,0,79,6,13.2,1,Y
2002,justin peelle,Oregon,TE,76.4,255,4.78,21,29,109,4.29,7.34,0,0,0,950,63,15.1,14,Y
2002,robert royal,Louisiana State,TE,77,253,4.97,14,31,114,4.27,7.37,0,0,0,707,59,12,7,Y
2002,derek smith,Kentucky,TE,76,271,4.92,16,28.5,109,4.38,7.46,0,0,0,1229,89,13.8,9,N
2002,tim stratton,Purdue,TE,76,251,5,15,27,100,,,0,1,0,2088,204,10.2,15,N
2002,tracey wistrom,Nebraska,TE,76.1,245,4.95,17,33.5,113,4.1,7.09,0,0,0,1150,58,19.8,10,Y
2003,sean berton,North Carolina State,TE,76.4,279,5.04,,31,107,4.35,7.18,0,0,0,219,26,8.4,2,N
2003,dallas clark,Iowa,TE,75.4,257,4.65,,37.5,123,,,1,1,1,1281,81,15.8,8,Y
2003,dan curley,Eastern Washington,TE,76,254,4.68,17,35.5,118,4.44,7.47,0,0,0,,,,,Y
2003,zach hilton,North Carolina,TE,79.8,262,4.83,24,35,112,4.29,7.25,0,0,0,346,31,11.2,3,N
2003,robert johnson,Auburn,TE,77.6,278,4.96,18,33.5,115,4.42,7.13,0,0,0,758,59,12.8,10,N
2003,bennie joppru,Michigan,TE,76.3,272,4.78,19,30.5,109,,,0,0,0,731,79,9.3,8,N
2003,donald lee,Mississippi State,TE,75.3,249,4.79,26,39,120,4.37,7.4,0,0,0,604,62,9.7,3,Y
2003,spencer nead,Brigham Young,TE,76.5,259,4.89,19,28.5,102,4.24,7.37,0,0,0,715,62,11.5,6,Y
2003,mike pinkard,Arizona State,TE,76.9,259,4.69,,35,,,,0,0,0,779,45,17.3,6,N
2003,gabe reid,Brigham Young,TE,75.4,255,4.81,23,37,119,4.31,7.48,0,0,0,,,,,N
2003,mike seidman,UCLA,TE,76.5,261,4.8,20,,,,,0,0,0,956,59,16.2,7,Y
2003,visanthe shiancoe,Morgan State (MD),TE,76.4,251,4.64,28,39.5,120,4.28,7.09,0,0,0,,,,,Y
2003,lj smith,Rutgers,TE,75.3,258,4.69,26,37,122,4.18,6.74,0,0,0,1534,139,11,10,Y
2003,trent smith,Oklahoma,TE,77.1,243,4.81,16,35.5,118,4.3,7.21,0,0,0,1458,156,9.3,16,Y
2003,erick streelman,Nevada,TE,77,248,5.06,9,30,109,4.4,7.59,0,0,0,528,46,11.5,5,N
2003,ray thomas,Wake Forest,TE,76.4,248,5.05,17,31,113,4.52,7.47,0,0,0,622,55,11.3,2,N
2003,aaron walker,Florida,TE,77.6,252,4.75,24,33.5,115,4.27,7.55,0,0,0,716,56,12.8,9,Y
2003,kevin ware,Washington,TE,74.9,256,4.8,22,34,110,4.47,7.51,0,0,0,587,50,11.7,5,N
2003,jason witten,Tennessee,TE,77.8,264,4.65,25,31,,,,0,0,0,797,68,11.7,7,Y
2003,george wrighster,Oregon,TE,74.1,249,4.89,16,34.5,115,,7.24,0,0,0,695,54,12.9,8,Y
2003,doug zeigler,Mississippi,TE,76,257,4.7,20,,,,,0,0,0,612,48,12.8,5,N
2004,courtney anderson,San Jose State,TE,78,269,4.89,17,30,106,4.54,7.86,0,0,0,477,36,13.3,7,Y
2004,bobby blizzard,North Carolina,TE,76,266,4.89,12,,102,,,0,0,0,876,78,11.2,6,N
2004,chris cooley,Utah State,TE,75.5,265,4.86,22,33,115,4.19,7.21,0,0,0,1276,99,12.9,12,Y
2004,jeff dugan,Maryland,TE,77,263,5,21,28,109,4.4,7.43,0,0,0,649,55,11.8,3,Y
2004,tim euhus,Oregon State,TE,77,260,4.89,25,34.5,115,4.13,6.99,0,0,0,1346,98,13.7,9,Y
2004,johnpaul foschi,Georgia Tech,TE,75.9,266,5.01,24,30.5,111,4.35,7.49,0,0,0,366,41,8.9,4,N
2004,michael gaines,Central Florida,TE,74,275,5.07,18,33,109,4.18,7.44,0,0,0,310,24,12.9,3,Y
2004,ronnie ghent,Louisville,TE,74.5,248,5,11,27.5,103,4.5,7.47,0,0,0,1349,120,11.2,15,N
2004,ben hartsock,Ohio State,TE,76,263,4.81,23,35,117,3.98,7.1,0,0,0,515,57,9,5,Y
2004,nate lawrie,Yale,TE,78,264,4.87,23,34,117,4.12,6.71,0,0,0,,,,,Y
2004,sean mchugh,Penn State,TE,77.1,264,4.92,18,29,115,4.09,7.36,0,0,0,619,126,4.9,7,Y
2004,jason peters,Arkansas,TE,76.5,336,4.99,21,29,115,4.75,7.7,0,0,0,288,27,10.7,4,N
2004,brett pierce,Stanford,TE,78,250,4.95,19,27,103,4.39,7.15,0,0,0,391,38,10.3,3,N
2004,sean ryan,Boston College,TE,76.5,268,4.97,22,32.5,115,,,0,0,0,950,75,12.7,12,Y
2004,mike walker,Minnesota-Morris,TE,76,254,4.8,19,30,106,4.35,7.51,0,0,0,,,,,N
2004,ben watson,Georgia,TE,75.5,258,4.52,34,35.5,123,4.11,7.38,0,0,0,945,73,12.9,7,Y
2004,keith willis,Virginia Tech,TE,77.8,260,5.03,21,,114,4.44,7.33,0,0,0,356,18,19.8,4,N
2004,kris wilson,Pittsburgh,TE,74,248,4.62,24,35,119,4.13,6.89,0,0,0,1431,88,16.3,15,Y
2004,kellen winslow,Miami (FL),TE,75.9,251,4.62,24,,120,,,1,1,1,1365,119,11.5,9,N
2005,billy bajema,Oklahoma State,TE,76.88,261,4.78,16,31.5,111,4.25,7.05,0,0,0,709,52,13.6,4,Y
2005,adam bergen,Lehigh (PA),TE,76.38,265,4.84,25,38,118,4.1,7.11,0,0,0,,,,,N
2005,jerome collins,Notre Dame,TE,76.25,267,4.73,21,,114,,,0,0,0,67,6,11.2,0,Y
